id	title	description	link	image_link	brand	condition	availability	price	short_description	product_type	google_product_category	gender
20	Fresh Almond Milk 500 ml	Fresh Almond Milk. Made to Order. Only Almonds and water, no preservatives. Maximum storage 48 hours.    Deliveries :  All items made to order. Will get delivered next day in 4pm - 6 pm window depending on location	https://foodfunctional.in/almond-milk-500-ml.html	https://foodfunctional.in/media/catalog/product/a/l/almond_milk.jpeg	Food Functional Store	new	in stock	300.00 INR	Fresh Almond Milk. Made to Order. Only Almonds and water, no preservatives. Maximum storage 48 hours.    Deliveries :  All items made to order. Will get delivered next day in 4pm - 6 pm window depending on location	Default > Featured Products | Default > Vegan Butters & Milks		
21	Fresh Sauerkraut - Indian Flavor 300gms	Get Pro-Biotics for your gut health. Today we are exposed to more anti-biotics then ever before and restoring the balance is important. Our homemade Pro-biotics ensure you have a healthy gut. We have Indianized the taste of sauerkraut to make it go well with Indian food. Eat as a pickle along with lunch or dinner.    Deliveries :  All items made to order. Will get delivered next day in 4pm - 6 pm window depending on location	https://foodfunctional.in/sauerkraut-indian-flavor.html	https://foodfunctional.in/media/catalog/product/s/a/sauerkraut.jpeg	Food Functional Store	new	in stock	300.00 INR	Get Pro-Biotics for your gut health. Today we are exposed to more anti-biotics then ever before and restoring the balance is important. Our homemade Pro-biotics ensure you have a healthy gut. We have Indianized the taste of sauerkraut to make it go well with Indian food. Eat as a pickle along with lunch or dinner.    Deliveries :  All items made to order. Will get delivered next day in 4pm - 6 pm window depending on location	Default > Featured Products		
22	Fresh Almond Milk 300 ml	Fresh Almond Milk. Made to Order. Only Almonds and water, no preservatives. Maximum storage 48 hours.    Deliveries :  All items made to order. Will get delivered next day in 4pm - 6 pm window depending on location	https://foodfunctional.in/almond-milk-500-ml-22.html	https://foodfunctional.in/media/catalog/product/a/l/almond_milk_1.jpeg	Food Functional Store	new	in stock	200.00 INR	Fresh Almond Milk. Made to Order. Only Almonds and water, no preservatives. Maximum storage 48 hours.    Deliveries :  All items made to order. Will get delivered next day in 4pm - 6 pm window depending on location	Default > Featured Products | Default > Vegan Butters & Milks		
24	Lentil Salad with Mustard And Parsley Dressing 250gms	The Lentil salad is designed to be nutritious, light and filling. The dressing is fresh made and without oil so it is extremely healthy, and naturally fat free and sugar free. Salads need fat for vitamin absorbption, but instead of oil, our salad has pumpkin seeds which are better for weight loss and more expensive. The lentils are a nutritious complex carbohydrate and will keep you full for longer. Lentils are much better than simple carbs for people who want to lose weight or are diabetic.    Ingredients : Cucumber, Tomato, Beetroot, Carrot, Iceberg, Lollo Rosso, Yellow, Red and Green Bell peppers, Cherry Tomato, Pumpkin Seeds, Sunflower Seed, Parsley and Masoor Dal.    Size :  250Gms    Deliveries : Gurgaon and South Delhi deliveries will dispatch by 11.30 am (lunch) and 4 pm (evening).	https://foodfunctional.in/lentil-salad.html	https://foodfunctional.in/media/catalog/product/l/e/lentil-salad-with_mustard-_-parsley-dressing.jpg	Food Functional Store	new	in stock	350.00 INR	The Lentil salad is designed to be nutritious, light and filling. The dressing is fresh made and without oil so it is extremely healthy, and naturally fat free and sugar free. Salads need fat for vitamin absorbption, but instead of oil, our salad has pumpkin seeds which are better for weight loss and more expensive. The lentils are a nutritious complex carbohydrate and will keep you full for longer. Lentils are much better than simple carbs for people who want to lose weight or are diabetic.    Ingredients : Cucumber, Tomato, Beetroot, Carrot, Iceberg, Lollo Rosso, Yellow, Red and Green Bell peppers, Cherry Tomato, Pumpkin Seeds, Sunflower Seed, Parsley and Masoor Dal.    Size :  250Gms    Deliveries : Gurgaon and South Delhi deliveries will dispatch by 11.30 am (lunch) and 4 pm (evening).	Default > Soups & Salad		
25	Millet Tabbouli with Parsley Lemon Dressing 250gms	The Millet tabbouli is our twist on a popular mediterranean salad. All our vegetables are sourced from high end suppliers. The salad has seeds which are better and more expensive for your health than oil, which has saturated fats. It has millets, which is a complex carbohydrate which will help you stay fuller longer. Millets will put a lower glyceamic stress on your body than a simple carb. The dressing is also made fresh and is without oil so it is a healthy, fat free, sugar free dressing compared to dressings anywhere else.    Ingredients :  Millet, Cucumber, Yellow, Red and Green Bell peppers, Tomato, Cherry Tomato, Parsley, Sunflower Seeds, Pumpkin Seeds.    Size :  250Gms    Deliveries : Gurgaon and South Delhi deliveries will dispatch by 11.30 am (lunch) and 4 pm (evening).	https://foodfunctional.in/millet-tabbouli.html	https://foodfunctional.in/media/catalog/product/m/i/millet-tabbouli-with-lemon-parsley-dressing.jpg	Food Functional Store	new	in stock	350.00 INR	The Millet tabbouli is our twist on a popular mediterranean salad. All our vegetables are sourced from high end suppliers. The salad has seeds which are better and more expensive for your health than oil, which has saturated fats. It has millets, which is a complex carbohydrate which will help you stay fuller longer. Millets will put a lower glyceamic stress on your body than a simple carb. The dressing is also made fresh and is without oil so it is a healthy, fat free, sugar free dressing compared to dressings anywhere else.    Ingredients :  Millet, Cucumber, Yellow, Red and Green Bell peppers, Tomato, Cherry Tomato, Parsley, Sunflower Seeds, Pumpkin Seeds.    Size :  250Gms    Deliveries : Gurgaon and South Delhi deliveries will dispatch by 11.30 am (lunch) and 4 pm (evening).	Default > Soups & Salad		
26	Cucumber Tomato Salad with Lemon Coriander Dressing 250gms	A delicious healthy salad full of fresh vegetables, seeds and paired with a special dressing. The salad incudes pumpkin seeds for fats instead of having cheaper oil. This gives you healthier unsaturated fats which is better for you heart and for losing weight and reducing diabetes. Even the dressing is fresh made from herbs and vegetables and has no oil, it is a fat free and sugar free dressing    Ingredients : Cucumber, Tomato, Parsley, Cherry Tomato, Iceberg, Lollo Rosso, Green Leafies.    Size :  250Gms    Deliveries : Gurgaon and South Delhi deliveries will dispatch by 11.30 am (lunch) and 4 pm (evening).	https://foodfunctional.in/cucumber-tomato-salad.html	https://foodfunctional.in/media/catalog/product/c/u/cucumber-tomato-salad-with-lemon-coriander-dressing.jpg	Food Functional Store	new	in stock	350.00 INR	A delicious healthy salad full of fresh vegetables, seeds and paired with a special dressing. The salad incudes pumpkin seeds for fats instead of having cheaper oil. This gives you healthier unsaturated fats which is better for you heart and for losing weight and reducing diabetes. Even the dressing is fresh made from herbs and vegetables and has no oil, it is a fat free and sugar free dressing    Ingredients : Cucumber, Tomato, Parsley, Cherry Tomato, Iceberg, Lollo Rosso, Green Leafies.    Size :  250Gms    Deliveries : Gurgaon and South Delhi deliveries will dispatch by 11.30 am (lunch) and 4 pm (evening).	Default > Soups & Salad		
27	Test Product	Test Product	https://foodfunctional.in/test-product.html	https://foodfunctional.in/media/catalog/productno_selection	Food Functional Store	new	in stock	1.00 INR	Test Product			
28	Minestrone Soup without oil 200ml	Our Minestrone soup is an oil free, low sodium version of the classic Italian soup.Ingredients  : Brocolli, Zuchini Green, Zuchini Yellow, Carrot, Whole Wheat Penne, Beetroot, Basil, Tomato, Oregano, Cauliflower, French Beans, Hot And Sour	https://foodfunctional.in/minestrone-soup-without-oil.html	https://foodfunctional.in/media/catalog/product/m/i/minestrone-soup-1.jpg	Food Functional Store	new	in stock	220.00 INR	Our Minestrone soup is an oil free, low sodium version of the classic Italian soup.Ingredients  : Brocolli, Zuchini Green, Zuchini Yellow, Carrot, Whole Wheat Penne, Beetroot, Basil, Tomato, Oregano, Cauliflower, French Beans, Hot And Sour	Default > Soups & Salad		
29	Hot And Sour Soup without Oil or corn starch 200ml	This Hot And Sour soup is without the empty calories of corn starch and without oil. It is designed to be healthy and is low sodium and without MSG.Ingredients  : Cabbage, Carrot, Fungus Mushroom, Coriander, Arra Root, Bamboo Shoot, Black Pepper, Seasoning, Silken Tofu, Brown Rice	https://foodfunctional.in/hot-sour-soup-without-oil-or-corn-starch.html	https://foodfunctional.in/media/catalog/product/v/e/veg-hot-and-sour-recipe-1.jpg	Food Functional Store	new	in stock	220.00 INR	This Hot And Sour soup is without the empty calories of corn starch and without oil. It is designed to be healthy and is low sodium and without MSG.Ingredients  : Cabbage, Carrot, Fungus Mushroom, Coriander, Arra Root, Bamboo Shoot, Black Pepper, Seasoning, Silken Tofu, Brown Rice	Default > Soups & Salad		
30	Tomato Dhaniya Ka Shorba without oil 200ml	This classic tomato soup version is tasty yet low in salt and without oil. All the tomatoes are blanched in the same water to keep all the nutrients in the soup itself. Instead of sugar we use raisins as a sweetener which means it is better for losing weight or for diabetics.Ingredients  Tomato, fresh coriander, garlic, ginger, salt, black pepper, onion, raisins.	https://foodfunctional.in/tomato-dhaniya-ka-shorba-without-oil.html	https://foodfunctional.in/media/catalog/product/t/a/tamatar-ka-shorba-1.jpg	Food Functional Store	new	in stock	220.00 INR	This classic tomato soup version is tasty yet low in salt and without oil. All the tomatoes are blanched in the same water to keep all the nutrients in the soup itself. Instead of sugar we use raisins as a sweetener which means it is better for losing weight or for diabetics.Ingredients  Tomato, fresh coriander, garlic, ginger, salt, black pepper, onion, raisins.	Default > Soups & Salad		
31	Zuppa di Fagioli 200ml	A classic Italian bean soup. Our version is made without oil and low in sodium. The beans in the soup will slow down glucose absorbtion meaning they are also good for weight loss and for diabetics.Ingredients  : Beans, Carrot, Garlic, Zuchini, Lobhia, Water, Thyme, Rosemary, Salt, Pepper	https://foodfunctional.in/zuppa-di-fagioli.html	https://foodfunctional.in/media/catalog/product/z/u/zuppa-di-fagioli-1.jpg	Food Functional Store	new	in stock	220.00 INR	A classic Italian bean soup. Our version is made without oil and low in sodium. The beans in the soup will slow down glucose absorbtion meaning they are also good for weight loss and for diabetics.Ingredients  : Beans, Carrot, Garlic, Zuchini, Lobhia, Water, Thyme, Rosemary, Salt, Pepper	Default > Soups & Salad		
32	Mix Vegetable Barley Soup 200ml	This healthy soup is both filling and healthy. Full of vegetables. The Barley is added to keep you full for longer. Low Sodium and no oil.Ingredients  . Carrot, Beans, Red Cabbage, Tomato, Yellow Bell Pepper, Red Bell Pepper, Onion, Garlic, Celery, Leek, Salt, Black Pepper, Broth Powder	https://foodfunctional.in/mix-vegetable-barley-soup.html	https://foodfunctional.in/media/catalog/product/v/e/vegetable-soup-barley-1.jpg	Food Functional Store	new	in stock	220.00 INR	This healthy soup is both filling and healthy. Full of vegetables. The Barley is added to keep you full for longer. Low Sodium and no oil.Ingredients  . Carrot, Beans, Red Cabbage, Tomato, Yellow Bell Pepper, Red Bell Pepper, Onion, Garlic, Celery, Leek, Salt, Black Pepper, Broth Powder	Default > Soups & Salad		
33	Mushroom White Pepper Soup 200ml	For Mushroom Lovers. Our soup is healthy as it has no oil or cream and also is low in sodium. The hint of white pepper gives it just a little punch.  Enjoy guilt free. Ingredients  : Shitake Mushroom, Mushroom, Onion, Garlic, Thyme, Salt, Pepper, Aromat	https://foodfunctional.in/mushroom-white-pepper-soup.html	https://foodfunctional.in/media/catalog/product/m/u/mushroom-white-pepper-soup-1.jpg	Food Functional Store	new	in stock	220.00 INR	For Mushroom Lovers. Our soup is healthy as it has no oil or cream and also is low in sodium. The hint of white pepper gives it just a little punch.  Enjoy guilt free. Ingredients  : Shitake Mushroom, Mushroom, Onion, Garlic, Thyme, Salt, Pepper, Aromat	Default > Soups & Salad		
34	Oriental salad 250gms	Sesame ginger dressing- Sesame Seed, Soya Sauce, Dates, Ginger, Sesame Oil, Lemon Juice, Salt.Ingredients  Red Cabbage, Cabbage Chinese, Bokchoy / Pokchoy,  Lettuce Iceberg, Red Bell pepper, Yellow Bell Pepper	https://foodfunctional.in/oriental-salad.html	https://foodfunctional.in/media/catalog/product/o/r/oriental-salad.jpg	Food Functional Store	new	in stock	350.00 INR	Sesame ginger dressing- Sesame Seed, Soya Sauce, Dates, Ginger, Sesame Oil, Lemon Juice, Salt.Ingredients  Red Cabbage, Cabbage Chinese, Bokchoy / Pokchoy,  Lettuce Iceberg, Red Bell pepper, Yellow Bell Pepper	Default > Soups & Salad		
35	Insalata Mista 250gms	Lemon Honey Parsley DressingIngredients  Lettuce Green, Lettuce Red, Lettuce Iceberg, Yellow Bell Pepper, Red Bell Pepper, Cherry Tomato, Onion.	https://foodfunctional.in/insalata-mista.html	https://foodfunctional.in/media/catalog/product/i/n/inslata_mista.jpg	Food Functional Store	new	in stock	350.00 INR	Lemon Honey Parsley DressingIngredients  Lettuce Green, Lettuce Red, Lettuce Iceberg, Yellow Bell Pepper, Red Bell Pepper, Cherry Tomato, Onion.	Default > Soups & Salad		
36	Beetroot And Seasonal Onion Salad 250gms	Honey mustard dressing- Basil Leaf, Mustard, Honey, Garlic, Cashew, Lemon Juice, Salt, Pepper, Water.Ingredients  Mix Lettuce, Beetroot, Onion, Redwine Vinegar.	https://foodfunctional.in/beetroot-seasonal-onion-salad.html	https://foodfunctional.in/media/catalog/product/b/e/beetroot-salad-ff.jpg	Food Functional Store	new	in stock	350.00 INR	Honey mustard dressing- Basil Leaf, Mustard, Honey, Garlic, Cashew, Lemon Juice, Salt, Pepper, Water.Ingredients  Mix Lettuce, Beetroot, Onion, Redwine Vinegar.	Default > Soups & Salad		
37	Khumb Matar 250gms	Khumb MatarIngredients  Mushroom, green peas, onion, tomato, garlic, tomato puree, turmeric, salt, Jeera.	https://foodfunctional.in/khumb-matar.html	https://foodfunctional.in/media/catalog/product/k/h/khumb_mattur.jpg	Food Functional Store	new	in stock	350.00 INR	Khumb MatarIngredients  Mushroom, green peas, onion, tomato, garlic, tomato puree, turmeric, salt, Jeera.	Default > Mains		
38	Vegetable Jalfrzi 250gms	Vegetable JalfrziIngredients  Cabbage, Carrot, Bell pepper Red, Cashews, Bell pepper yellow, Green Capsicum, onion, tomato, Ginger, Garlic, Pink Salt, Degi Mirch , Garam Masala.	https://foodfunctional.in/vegetable-jalfrzi.html	https://foodfunctional.in/media/catalog/product/v/e/veggiejalfrezi.jpg	Food Functional Store	new	in stock	350.00 INR	Vegetable JalfrziIngredients  Cabbage, Carrot, Bell pepper Red, Cashews, Bell pepper yellow, Green Capsicum, onion, tomato, Ginger, Garlic, Pink Salt, Degi Mirch , Garam Masala.	Default > Mains		
